m1	Авив Бен Ари
m2	Авитар Виола
m3	Авнер Левин
m4	Адир Даниель
m5	Алан Заикин;ZAIKIN Alan
m6	Александр Бельский
m7	Александр Боровик;BOROVIK Alexandr
m8	Александр Дидух;Didukh Oleksandr
m9	Александр Каракашевич;Karakasevic Aleksandar
m11	Александр Комов;KOMOV Alexander
m12	Александр Косенок
m13	Александр Курас
m14	Александр Мальцев;MALTCEV Aleksandr
m15	Александр Олонов;OLONOV Alexander
m16	Александр Савельев;SAVELYEV Alexander
m17	Александр Савинский
m18	Александр Стеценко;STETSENKO Alexander
m19	Александр Тужилин;Tuzhylin Olexandr
m20	Александр Элинсон
m21	Алексей Бритвин;BRITVIN Alexei
m22	Алексей Жуков;Zhukov Aleksei
m23	Алексей Каулик
m24	Алексей Ливенцов;Liventsov Alexey
m25	Алексей Млинарж;MLINARZH Alexei
m26	Алексей Пашин;PASHIN Alexei
m27	Алексей Сарматов;Sarmatov Alexei
m28	Алексей Хорьков;KHORKOV Alexey
m29	Алексей Чернышков;CHERNYSHKOV Alexey
m30	Алинь Спелбус
m31	Альфредас Удра;Udra Alfredas
m32	Анатолий Бондаренко
m33	Анвар Иманкадыров
m34	Андрей Байбулдин;Baibuldin Andrei
m35	Андрей Бондарев
m36	Андрей Букин;BUKIN Andrey
m37	Андрей Грачев
m38	Андрей Карпов;KARPOV Andrei
m39	Андрей Мазунов
m40	Андрей Ситак;Sitak Andriy
m41	Андрей Цыбин;TCYBIN Andrei
m42	Антон Воронов
m43	Арсений Гусев;Gusev Arseniy
m44	Артем Панченко;PANCHENKO Artem
m45	Артур Григорьев;GRIGOREV Artur
m46	Артур Лопатнюк
m47	Бен Ари Омри;Ben Ari Omri
m48	Бен Сорокин
m49	Бенци Бланк
m50	Богдан Когут
m51	Вадим Бочковский
m52	Вадим Ярошенко;Yarashenka Vadim
m53	Валентин Панкратов
m54	Валерий Зоненко;Zonenko Valeriy
m55	Валерий Раков;Rakov Valerij;Rakov Valeriy
m56	Василий Лакеев;LAKEEV Vasily
m57	Василий Скаленко
m58	Василий Филатов;FILATOV Vasilij
m59	Виктор Ефимов;Yefimov Viktor
m60	Виталий Григорьев
m61	Виталий Левшин;Lyevshyn Vitaliy
m62	Виталий Нехведович;Nekhvedovich Vitaly
m63	Виталий Филичев;Filichev Vitaly
m64	Влад Ратушняк
m65	Влади Фурман
m66	Владимир Бриль;BRIL Vladimir
m67	Владислав Паламарчук;PALAMARCHUK Vladislav
m68	Владислав Сорбало
m70	Вячеслав Буров;BUROV Viacheslav
